,Most Representative Message Texts
,Neidische Kollegen oder Freunde! So gehst du selbstbewusst damit um! 5.1K 22.09.2021 SELFCHANGER
,Mit Ton Inspiration Essen Heute schon gesund genascht... Leicht Schnell Lecker Mehr für dich @seelengut
,Der Klassiker: Wem nützt das Impfen Kurzer Überblick über die Impferei Gesund ohne Rezept Mehr Hier 
,Hier versteckt sich ZUCKER ‍ @Rezepteausnaturundselbstgemacht #Wissen #Hilfestellung #Karteikarten
,"Die Schilddrüse und das ""Wundermittel"" Dill Http://t.me/gesundistbesser"
,Apfelessig Einfach - Natürlich - Gesund Http://t.me/gesundistbesser
, Http://t.me/gesundistbesser Weiterführender Beitrag 
,#Kopfschmerzen Https://t.me/gesundistbesser 
2,"Bericht über rechtes Treffen: Empörung über Vertreibungspläne AfD-Politiker, Neonazis und Unternehmer sollen einen Plan ausgeheckt haben, der vorsieht, Millionen Menschen aus Deutschland zu vertreiben. Das hat das Investigativ-Portal ""Correctiv"" aufgedeckt. Bundeskanzler Scholz sieht darin einen ""Fall für den Verfassungsschutz"". weiterlesen beachte auch den Kommentar zum correctiv-Artikel so ist das eben, wenn man eine blinde geldgierige Marionette ist. Man erkennt die Realität nicht mehr..... "
," Weltregierungsgipfel 2024 Generaldirektor der Weltgesundheitsorganisation, Tedros über Krankheit X, der WHO-Pandemiepakt und die Angst vor Verschwörungstheoretiker die den Pandemiepakt zu nichte machen könnten! Die Angst vor ""Verschwörungstheoretiker"" die ganz genau wissen, was sie mit uns planen, muss riesig sein hinter den Kulissen. Bleibt stark und und standhaft lasst euch nicht diffamieren! Die letzten vier Jahre haben bewiesen, dass wir leider Recht hatten mit fast allem. Unterstützung Deutsche Übersetzung: Phantom-Schweiz ️ Twitter/X ️ Facebook ️ Instagram ️ TikTok"
," Weltregierungsgipfel 2024 Generaldirektor der Weltgesundheitsorganisation, Tedros über Krankheit X, den WHO-Pandemiepakt und die Angst vor Verschwörungstheoretikern die den Pandemiepakt zu nichte machen könnten! Die Angst vor ""Verschwörungstheoretiker"" die ganz genau wissen, was sie mit uns planen, muss riesig sein hinter den Kulissen. Bleibt stark und standhaft lasst euch nicht diffamieren! Die letzten vier Jahre haben bewiesen, dass wir leider Recht hatten mit fast allem. Unterstützung Deutsche Übersetzung: Phantom-Schweiz ️ Twitter/X ️ Facebook ️ Instagram ️ TikTok"
,"Die geheimen Sitzungsprotokolle des RKI haben die Debatten um die Corona-Politik in Deutschland neu entfacht. In den Sitzungen bestätigte man nicht nur immer wieder Aussagen, für die Normalbürger als Verschwörungstheoretiker verunglimpft wurden: Auch wurde deutlich, dass die Erhöhung der Risikostufe politisch geplant war. Doch der Name des Verantwortlichen wurde geschwärzt. Der gesundheitspolitische Sprecher der AfD-Bundestagsfraktion, Martin Sichert, spricht von einem „monumentalen Kriminalfall“ und konstatiert, dass die Bevölkerung ein Recht darauf habe, diesen Namen zu erfahren. "
,Negativität. Soweit das Auge reicht. Eine besorgniserregende Entwicklung. Mad in Germany unterstützen
,"Die geheimen Sitzungsprotokolle des RKI haben die Debatten um die Corona-Politik in Deutschland neu entfacht. In den Sitzungen bestätigte man nicht nur immer wieder Aussagen, für die Normalbürger als Verschwörungstheoretiker verunglimpft wurden: Auch wurde deutlich, dass die Erhöhung der Risikostufe politisch geplant war. Doch der Name des Verantwortlichen wurde geschwärzt. Der gesundheitspolitische Sprecher der AfD-Bundestagsfraktion, Martin Sichert, spricht von einem ""monumentalen Kriminalfall"" und konstatiert, dass die Bevölkerung ein Recht darauf habe, diesen Namen zu erfahren. Artikel hier lesen: Immer informiert bleiben? Abonnieren Sie @report24news! Wir brauchen JETZT Ihre Unterstüzung: report24.news/unterstuetzen Auch wenn Sie unsere Inhalte teilen und verbreiten, helfen Sie mit."
,"Die diesjährige World Health Summit-Konferenz in Berlin kann als Werbeveranstaltung für den WHO-Pandemievertrag verstanden werden. Vor allem Deutschlands Gesundheitsminister Karl Lauterbach forderte dort das Vorantreiben der Agenda 2030, deren Ziele deckungsgleich mit dem von Globalisten propagierten Great Reset sind. Lauterbach und Corona-Papst Christian Drosten verstiegen sich dort zu Aussagen, die vielleicht in Diktaturen üblich sind, niemals jedoch in Demokratien: Kritik an Maßnahmen in der nächsten Plandemie sollen offenkundig mit allen Mitteln unterbunden werden - mehr noch als in den Corona-Jahren. Artikel hier lesen: Immer informiert bleiben? Abonnieren Sie @report24news! Wir brauchen JETZT Ihre Unterstüzung: report24.news/unterstuetzen Auch wenn Sie unsere Inhalte teilen und verbreiten, helfen Sie mit."
," Tod von AfD-Politikern gefeiert: Wie extremistische Gruppen Justizgelder abgreifen ""Oft werden in Deutschland Verfahren gegen Geldauflagen eingestellt. Diese gezahlten Auflagen kommen nach dem Gesetz „gemeinnützigen Einrichtungen“ zugute. Das ist so weit normale Rechtspraxis. Tatsache ist jedoch: Oft profitieren links ausgerichtete und/oder radikale Polit-Organisationen, deren tatsächliche Gemeinnützigkeit umstritten ist. Apollo News hat die Bescheide aus Hessen und Niedersachsen aus dem Jahr 2022 analysiert und diverse solcher Beispiele gefunden, die eine politische Motivation der Zahlungsbescheide nahelegen. ..."" "
,Staatshörige wegimpfen ist doch unlogisch oder? Wieso sollten sie die kritischen Menschen leben lassen? Erklärung Mad in Germany unterstützen
,"Ist die Meinungsfreiheit in Gefahr? Streit um Regierungspläne, die an DDR-Zeiten erinnern Eine Schülerin teilt bei TikTok ein Schlumpf-Video mit AfD-Bezug „Schlümpfe sind blau, und Deutschland auch“, schreibt außerdem: Deutschland sei für sie nicht nur „ein Ort, sondern Heimat“. Der Fall von Ende Februar beschäftigt inzwischen Parlament und Landesregierung. SOLLTE ER AUCH, finden Verfassungsexperten! Denn hinter der Gesinnungsprüfung der Schülerin steckt System: Bundesinnenministerin Nancy Faeser SPD will mit einem neuen Aktionsplan „Rechtsextremismus ganzheitlich und frühzeitig bekämpfen“. Heißt konkret: Schon wer sich radikal äußert, den Staat oder seine Politik bei Facebook oder Instagram in Frage stellt, steht unter dem Verdacht der rechten Hetze – und wird zum Verdachtsfall für den Staatsschutz. Ein brandgefährliches Spiel mit der Meinungsfreiheit, warnen Verfassungsexperten. „Was Frau Faeser hier verfolgt, ist pure Ideologie und verfassungswidrig“, sagt Staatsrechtsexperte Rupert Scholz 86, CDU zu BILD am SONNTAG: „Sie delegitimiert die Meinungsfreiheit, das Kernrecht unseres demokratischen Rechtsstaates!“ "
3,Jetzt Beitreten: Die krumme Erde und Ihre Mysterien
,"Neu: Zirbeldrüse - Ein Wunderwerk - Teil 10/12 Video bis Sonntag Mittag freigeschaltet: Die Zirbeldrüse ist kein Fehler der Natur, sondern das Tor zur Quelle. So unser heutiger Gast, Biophysiker & Autor Dieter Broers. Eine Aussage dir Fragen aufwirft, die wir in dieser Folge beantworten. Im Kern ist das Verstehen unseres Seins das Ziel jeder Wissenschaftlichen Forschung. Dies beinhaltet das Wissen woraus, wofür und wodurch alles Leben entsteht, und welche Beziehung zu unserer Existenz auf dieser Erde und dem Kosmos besteht. In dieser Auseinandersetzungen gehen wir mit einem der führenden Experten der Bedeutung der Zirbeldrüse nach. Transformation erfahren t.me/gaiadeutsch "
,"DIe vier Kolumnen hinter dem großen Plan der wahren Herrscher des Planeten! Mit deutschen Untertiteln! Erkenntnisse, die die Eliten vor dir verbergen wollen: Riesen - Nephilim-Beweise die der Mainstream vertuscht Die wahre Geschichte Luzifers Plejadier enthüllt gegen die Neue Weltordnung Interview mit einem Reptiloiden mit Ashtar Sheran rufts du Erzengel Michael wahre Menschheitsgeschichte von der Venus mit Arkturianern mit Aliens mit einem Man in Black"
,Wahrheit Mehr auf @maraswelt #OupsBilder
,"Schau, schau, was haben wir denn hier?! Sieht ganz nach kontrollierter Sprengung aus! Nicht meine Worte...sondern die von Sprengmeistern. Vertuscht, verschwiegen und verboten, alles was du wirklich wissen musst: Die wahre Geschichte Luzifers: Ein Plejadier enthüllt - Die Wahrheit über die Sternensaat gegen die Neue Weltordnung Interview mit einem Reptiloiden mit Ashtar Sheran rufts du Erzengel Michael wahre Menschheitsgeschichte größte Geheimnis aller Zeiten von der Venus mit Arkturianern mit Aliens mit einem Man in Black"
," BEYOND THE NEWS mit Meg vom 30.05.2024 53 Min. Sommer des Wahnsinns - UFOs und ETs, die sichtbar werden - Landmassen, die aufbrechen - Anführer, die ihren Kopf verlieren - Energien, die aus dem Ruder laufen - neue Erfindungen und Heiltechnologien Zum Video: beyond-the-news-mit-meg-vom-30.05.2024.html Originalvideo, Transkript Audio zum Video: t.me/lichtweiser/844 󠁧󠁢󠁥󠁮󠁧󠁿 Updates aus der internationalen Aufklärer-Szene Hier im Kanal t.me/lichtweiser @DieWahrheitssuchende"
,"AUFSTIEG UND AUFERSTEHUNG SIND MEINE WIRKLICHKEIT! Anmeldung zur Lichtlesung & Buchpräsentation, am 6.7.2024: ""Menschen, die voller Untergangszenarien sind und die ihr Bewusstsein durch negative Berichte ununterbrochen damit füttern, werden einen Untergang erleben: den Untergang ihrer eigenen inneren Welt. Wahr ist: Der Aufstieg und die Auferstehung der Menschheit geschehen und es ereignet sich jetzt! Ein geklärtes Bewusstsein kennt den Weg und kennt den Ausgang dieses Spiels. Entfernt den Nebel vor eurem Bewusstsein und ihr werdet Sicherheit gewinnen. Die Sicherheit, die es jetzt braucht, um das Neue zu manifestieren und all die Unmenschlichkeit von dieser Erde zu eliminieren. So, wie du durch dein Denken und Fühlen die Vergangenheit bestimmt hast, bestimmst du deine Gegenwart und deine Zukunft. Deine Macht ist groß, geliebter Mensch, wende sie an, damit die Neue Erde in dir geboren werden kann."" DIE HÜTER DER ERDE ️ Botschaft hier weiterlesen: Video der 131. Lichtlesung & Buchpräsentation: Newsletter mit Botschaften: Lichtwelt – Pinterest: Lichtblick 2 – Podcast: Unsere Bücher: Erbe aus Atlantis: Wenn Sie unsere Arbeit schätzen, dann freuen wir uns über Ihren Beitrag! Volksbank Wien AG IBAN: AT72 4300 0484 0551 7003 BIC: VBOEATWW"
," Ein neuer Podcast von Linda Giese ... Wichtige Botschaft! Kosmische Wesenheit zu Besuch - Geheimnis Aufstieg gelüftet! In dieser Episode möchte ich mit dir ein Geheimnis lüften, welches mit unserer machtvollen Transformation einhergeht. Und welche nun gestartet ist. Massive Einstrahlungen aus dem Kosmos schütteln uns wirklich ordentlich und kräftig durch und viele von uns stecken in wirklich extrem bemerkenswerten Transformationsprozessen. Viel Freude beim Anhören! @DieWahrheitssuchende "
,"Unfassbar was auf einer Männertoilette im Stuttgarter Rathaus entdeckt wurde! Die Welt und die Leute werden immer verrückter. Es wird Zeit für den großen Wandel um mit dem ganzen Unsinn endlich Schluss zu machen! Fang an und befreie dich aus der Matrix, denn in diesen Büchern erfährst du alles, um den Fesseln des Systems zu entrinnen: Die wahre Geschichte Luzifers: Ein Plejadier enthüllt - Die Wahrheit über die Sternensaat gegen die Neue Weltordnung Interview mit einem Reptiloiden mit Ashtar Sheran rufts du Erzengel Michael wahre Menschheitsgeschichte größte Geheimnis aller Zeiten: Nachricht von der Venus mit Arkturianern mit Aliens mit einem Man in Black"
," Ein neues Video von Kerry K ... Limbo: Die 4D Welt zwischen den Welten und der Kollaps der Astralwelt Der Zusammenbruch der Astra- und Unterwelt wird weiterhin von Menschen wahrgenommen und nicht nur gespürt, sondern auch alchemiert. Das geschieht dadurch, dass wir die vielen Schichten dieser astralen „Suppe“ die uns umgeben, absorbieren und in neues Licht und Leben transformieren; durch unsere Fähigkeit alchemistisch zu verändern. Übersetzt und gesprochen von: Irmgard Weinhandl https:// @DieWahrheitssuchende"
4,"Dass der ""Volksverräter-Trampel"" die gleichen stupiden Sprüche wie die von der Ampel gegenüber der AfD in Deutschland hernimmt, zeigt einmal mehr, welch geistig nackte Zeitgenossin sie ist! Außerdem war dieses Furunkel samt Partei, evidenzlos für eine Impfpflicht, go and.... usw. ️ "
,"Jetzt auch Thema im internationalen Mainstream: „Bidens Zustand schockiert Verbündete beim G7-Gipfel. Einer von ihnen sagt, es sei so schlimm wie nie zuvor... bizarre Aktionen.“ Und wer schweigt? Der transatlantische deutsche Öffentlich-rechtliche Rundfunk. "
,Endlich wird dieser übergriffigen WHO Saubande der Riegel vorgeschoben 
,Sind SPÖ Ludwig mit Neos Kasperln eine Gefahr für Gesundheit u Meinungsfreiheit ? DUMME WÄHLER BEKOMMEN DUMME POLITIK 
,"VÖLLIG LOSGELÖST VON DER REALITÄT, aber voll in der Propaganda-Parallelwelt, die es aber nicht gibt, labern die belämmerten Österreichs vor sich hin: Informierte können sich wundern, den Kopf schütteln und sich fragen, wie lang die Gesichter werden! "
,"Gut so...diese kranke #Göre wurde sowieso zu hoch gehandelt. UN Auftritt, Gedankenspiele für den Nobelpreis.... Jetz müssen wir noch den ganzen Klima Sekten Scheißdreck etc pp zurückabwickeln und sämtliche Mitläufer wie z.b. Politiker, Medien u.s.w , in die Bedeutungslosigkeit befördern.. "
,Kurz vor EU-Wahl: Vorwurf des Rufmords - Klage gegen ⁦@LenaSchilling1⁩ eingebracht. #wahlsupergau ⁦@diegruenen⁩ 
,Skurrile Kanzlerideen: ÖVP verliert trotz “Zukunftsplan” weiter an Glaubwürdigkeit 
,"Deutschland 2023! Ein Land gerät aus allen Fugen! Gewaltverbrechen werden realitiviert und totgeschwiegen, aber wehe man spricht jemanden mit den falschen Pronomen an oder äußert sich regierungskritisch.. "
,Vor 2 Jahren beschloss die Regierung mit ihre Komplizen die #Impfpflicht in Österreich - gegen den Willen Hunderttausender. Die meisten sitzen NOCH im Parlament und belästigen uns weiter mit Inkompetenz & Bosheit - doch die #Wahlen kommen bald! #RichtigErinnern 
