,Most Representative Message Texts
,Uns trennen Welten! 
,SYRER mit MESSER im KINDERGARTEN!
,FURCHTBAR! Ein ZUSAMMENSCHNITT des UNTERGANGS!
,#Hühners Juni
,hierzu
,Tolle Darbietungen! 
,Hallöchen. ️ ️
,Schaff das mal
,#GDISO
3,"》 |RT-NACHRICHTEN, 29.05.2024, mit Vadim Ivanov Aktuelle Ereignisse aus der russischen Perspektive. U.a. mit folgenden Themen: OFFENE KONFRONTATION - immer mehr Länder für ukrainischen Waffeneinsatz in Russland - Selbst Olaf Scholz ändert seine Meinung STAATSRATSSITZUNG - Sitzung des erweiterten Staatsrats im Großen Kremlpalast - Themen: Strategische Lage und konkrete Projekte KRIEG IM NAHEN OSTEN - wieder Tote bei Angriff auf Flüchtlingslager bei Rafah - Israel weist Vorwürfe zurück The Group of the 7 "
,"》 |RT-NACHRICHTEN, 27.05.2024, 18.00 Uhr mit Alex Dzhigirej Aktuelle Ereignisse aus der russischen Perspektive. U.a. mit folgenden Themen: KEINE EINIGKEIT - Stoltenberg gegen Beschränkungen für Waffen der Ukraine - Salvini: ""die NATO kann uns nicht zwingen, in Russland zu töten"" WLADIMIR PUTIN IN USBEKISTAN - 2-tägiger Besuch beendet - zahlreiche Abkommen unterzeichnet KRIEG IM NAHEN OSTEN - Israelische Streitkräfte bombardieren Zeltlager in Sicherheitszone - Zahlreiche Frauen und Kinder getötet BUNGEE-JUMPING IM IRAN - Höchster Sprungplatz der Welt in Teheran - 280 Meter in die Tiefe The Group of the 7 "
,"》 |RT-NACHRICHTEN, 11.05.2024, mit Ulrich Gohlke Aktuelle Ereignisse aus der russischen Perspektive. U.a. mit folgenden Themen: GAZA UNTER BESCHUSS - 40 Tote in Rafah - Israel fordert Bevölkerung auf, die Stadt zu verlassen NATO-TRUPPEN IN DER UKRAINE - Polens Premier Donald Tusk bestätigt die Anwesenheit von NATO-Truppen in der Ukraine - Ungarn warnt vor 3. Weltkrieg UNTER RUSSISCHER KONTROLLE - russische Truppen übernehmen die Kontrolle in fünf Siedlungen im Raum Charkow FREUNDSCHAFT MIT MOLDAWIEN - Orden der Freundschaft für moldawische Abgeordnete Marina Tauber The Group of the 7 "
,"》 |RT-NACHRICHTEN, 23.05.2024, mit Vadim Ivanov Aktuelle Ereignisse aus der russischen Perspektive. U.a. mit folgenden Themen: SPIEGELMAẞNAHMEN - Moskau reagiert auf Beschlagnahmungen in den USA KÖNIG VON BAHREIN IN MOSKAU - Lob für die Einigkeit des Globalen Südens. Barain ist noch echt, Einer von wenigen Königen, der sich behauptet hat, dafür sorgte frei genug zu sein, damit Israel ihn nicht zwingen kann mit zumachen. Es sucht Nähe Schutz und Zusammenarbeit bei Russland und macht sich weiter für Gaza stark.. da reden genau die richtigen beiden wirklich.. gut gemacht Russland hat mich nie enttäuscht. Er macht es genau richtig!!! Wenigstens einer unserer Könige. 75 JAHRE GRUNDGESETZ - am 23. Mai 1949 wurde das Grundgesetz verkündet - ist die Demokratie heute in Gefahr? DER IRAN TRAUERT - im ganzen Land Trauer um Präsident Raisi und seine Begleiter The Group of the 7 "
,"ZU PRO-RUSSISCH - EIN HAUCH VON NORTHSTREAM LIEGT IN DER LUFT SLOWAKEI, HANDLOVA/SKY NEWS 25.05. Ist heute igendwo der Sekt kaltgestellt worden? Der Anschlag auf Premierminister Robert Fico in Handlova dt. Krickerhau trifft einen Politiker mit maximaler Distanz zur Ukraine und den Russlandsanktionen der Europäischen Union. POSITIONEN FICOS Keine Überfremdung durch Massenmigration. Kein WHO-Pakt Kein NATO-Beitritt der Ukraine. Notfalls slowakisches Veto. Keine Waffenlieferungen an das ""Nazi-Regime"" Fico in Kiew. Für ein gutes Verhältnis zu Russland und China und gegen antirussische EU-Sanktionen Robert Fico war bereits zweimal Premier 2006 - 2010, 2026 - 2020 und wieder seit 2023. Seine Partei SMER - ""Richtung - Slowakische Sozialdemokratie"" gehört der Sozialistischen Internationale an, ist also eine Schwesterpartei der SPD. Das heutige Attentat des ""Schriftstellers"" Juray Cintula hätte im Erfolgsfall bestimmten globalistischen Gruppen durchaus ins Konzept gepasst. @RoyalAllemand"
,"》 |RT-NACHRICHTEN, 28.05.2024, 19.00 Uhr mit Alex Dzhigirej Aktuelle Ereignisse aus der russischen Perspektive. U.a. mit folgenden Themen: WERTVOLLE PARTNERSCHAFT - Wladimir Putins Besuch in Usbekistan OFFENE KONFRONTATION - immer mehr europäische Politiker für direkte Angriffe der Ukraine auf Russland KRIEG IM NAHEN OSTEN - Israel setzt Offensive auf Rafah fort - Netanjahu bezeichnet Angriff auf Zeltlager als Fehler The Group of the 7 "
,"》 |RT-NACHRICHTEN, 01.03., 21.00 Uhr mit Dominik Reichert Aktuelle Ereignisse aus der russischen Perspektive. U.a. mit folgenden Themen: GELEAKTE AUFNAHME - Deutsche Offiziere besprechen Zerstörung der Krim-Brücke - Russen hören mit SCHLAG INS GESICHT - Scholz: Briten und Franzosen sind bereits in der Ukraine BLUTIGER KRIEG - Gaza: Massaker an Zivilisten während einer Hilfslieferung führt zu noch mehr Solidarisierung mit Palästinensern. The Group of the 7 "
,"》 |RT-NACHRICHTEN, 22.01., mit Dominik Reichert Aktuelle Ereignisse aus der russischen Perspektive U.a. mit folgenden Themen SITZUNG DES UN-SICHERHEITSRATS - Nach Beschuss von Donezk mit 28 Zivilisten UMSTRITTENEE VORSCHLAG - Pistorius: auch Ausländer sollen in der Bundeswehr dienen - Warnung vor einem Krieg mit Russland KRIEG IM NAHEN OSTEN - Israelischer Vormarsch im südlichen Gazastreifen - Zahl der zivilen Opfer steigt auf 25.000. Da seht ihr mal wie schnell aus ""solidarität"" nun ""pflicht"" wird. Habe es letztes Jahr im Mai gesagt und die meisten fanden es witzig, da sind wir nun, nur knappe 10 Monate später ""ist es eure Pflicht zur Bundeswehr zu gehen und Krieg mit russland zu wollen"" - wie sagt er so schön ""das Gesetz ist da eindeutig.."" kranker scheiss oder? The Group of the 7 "
,"》 |RT-NACHRICHTEN, 29.01., mit Dominik Reichert Aktuelle Ereignisse aus der russischen Perspektive U.a. mit folgenden Themen: AKP-ABLEGER IN DEUTSCHLAND - Erdogan baut Einfluss aus KAMPAGNE GEGEN RECHTS - Demos gegen die AfD gehen weiter - Grüne provozieren Hitlergruß-Skandal BLUTIGER KONFLIKT - Humanitäre Krise in Gaza - israelische Demonstranten gegen Hilfslieferungen The Group of the 7 "
,"》 |RT-NACHRICHTEN, 03.04.2024, mit Vadim Ivanov Aktuelle Ereignisse aus der russischen Perspektive. U.a. mit folgenden Themen: WER TRÄGT DIE SCHULD? - Crocus-City-Hall: Russland verdächtigt Ukraine und USA ERDBEBEN VOR TAIWAN - schwerstes Beben seit 25 Jahren HUMANITÄRE HELFER GETÖTET - Israels Armee: ""Angriff war schwerer Fehler"" - World Central Kitchen: Israel über Bewegungen der Helfer informiert nur weil man es beweisen konnte REFORM DER SCHULDENBREMSE - Lindner: erst nach der Wahl 2025 The Group of the 7 "
4,#MutterNatur #Frequenzen Gesund ohne Rezept Mehr Hier 
, Hier könnt ihr mehr über den gesunden #Zahnwurz nachlesen.
,Zwiebel... ein Naturwunder! Gerne teilen! Folge hier deinem Weg der natürlichen Gesundheit ‍ 
," Die geheimnisvollen Superkräfte von Kräutern! Du erfährst in diesem Video kompakt zusammengefasst Kräuterwissen für den täglichen Gebrauch. Ich zeige dir, wie 13 Kräuter wirken und wie du im Alltag profitieren kannst: Petersilie Minze Bohnenkraut Dill Estragon Brennessel Basilikum Majoran Schnittlauch Spitzwegerich Salbei Zitronengras Zitronenmelisse sie alle wirken positiv auf die Gesundheit Quelle Teilen kann heilen! Folge hier deinem Weg der natürlichen Gesundheit ‍ "
,Ein Esslöffel Essig vor einer Mahlzeit schenkt Gesundheit! ‍ Jetzt beitreten BleibGesund
,Fluoride aus den Körper leiten! Und vieles mehr! Gerne teilen! Folge hier deinem Weg der natürlichen Gesundheit ‍ 
,Der Georg wieder Teilen kann zum Aufwachen beitragen! Folge hier deinem Weg der natürlichen Gesundheit ‍ 
,Los gehts' Teilen macht autark! Folge hier deinem Weg der natürlichen Gesundheit ‍ 
,Betthupferl Teilen macht lustig! Folge hier deinem Weg der natürlichen Gesundheit ‍ 
,Tagesschmunzler Der Flaschengeist Vera F. Birkenbihl Teilen schafft Wissen! Folge hier deinem Weg der natürlichen Gesundheit ‍ 
